,Date,TweetURL,User,Source,Location,Tweet,Likes_Count,Retweet_Count,Quote_Count,Reply_Count
46,2023-02-28 23:06:11+00:00,https://twitter.com/Chris_Presh001/status/1630705954231558144,Chris_Presh001,Twitter for Android,,"To all obIdients, thank you but then you're the reason we lost. Look at the SE, with registered voters of over 2M in almost all states, the highest state was about 450k+ votes. Can you all tell us where you all went to? Do beta nxt tym
#electionresults2023 
#2023GeneralElections",2,1,0,0
47,2023-02-28 23:05:28+00:00,https://twitter.com/aksimpl/status/1630705775713583105,aksimpl,Twitter for Android,"Abuja, Nigeria","@inecnigeria 
#2023Election #2023GeneralElections",1,0,0,0
48,2023-02-28 23:04:22+00:00,https://twitter.com/Justkoko1/status/1630705500298911745,Justkoko1,Twitter for iPhone,,Since last month we never know who win  #2023GeneralElections #INECFailedNigerians,2,0,0,1
49,2023-02-28 23:02:44+00:00,https://twitter.com/Chris_Presh001/status/1630705085729718272,Chris_Presh001,Twitter for Android,,"@GovWike, Nyerishi, ""as e dey pain us e dey sweet you"". 
So now who's mandate will it be at the guber? SIMor#Agbado's? Will you ask us to vote APC or will they support your candidate or will you rig for him under PDP and defect? #2023GeneralElections 
#electionresults2023",0,0,0,0
50,2023-02-28 23:00:46+00:00,https://twitter.com/NsikakInyang87/status/1630704591623864321,NsikakInyang87,Twitter for Android,,"@channelstv #2023GeneralElections If Inec chairman can't keep to time of his word, I can Nigerian believe the results his giving us",1,0,0,0
51,2023-02-28 23:00:42+00:00,https://twitter.com/Cruiseedo/status/1630704576050364416,Cruiseedo,Twitter for iPhone,Nigeria,"As una dey post television via inec news
Make I no see my boyfriend television for your status o
Maka blood no go flow ⚔️ 
#labourpartynigeria #2023GeneralElections #INECElection #TinubuIsNotComing",1,0,0,0
52,2023-02-28 22:57:53+00:00,https://twitter.com/Chris_Presh001/status/1630703867225571329,Chris_Presh001,Twitter for Android,,"@ChibuikeAmaechi, Lion of the tribe of Egbema,I believe your political career ended on a bad note, Wike dealt with you. Let's watch and see if you can deliver your candidate at the gubernatorial elections come March 11 or you'll ask us to vote SIM.
#2023GeneralElections",0,0,0,0
53,2023-02-28 22:57:48+00:00,https://twitter.com/kyloosprey/status/1630703847306821632,kyloosprey,Twitter for Android,LAGOS,"""AND I'M GOING TO WIN THIS ELECTION"" #TinubusWalkToVictory #INECElectionResult #2023GeneralElections",6,1,0,0
54,2023-02-28 22:56:41+00:00,https://twitter.com/tolutopedada/status/1630703566456324096,tolutopedada,Twitter for Android,"Abuja, Nigeria","Shey @inecnigeria doesn't know that some of us are not sleeping ni? Please resume the last stretch of collation.

#2023GeneralElections
#2023Verdict
#NigeriaDecides
@channelstv",1,0,0,1
55,2023-02-28 22:56:32+00:00,https://twitter.com/chiefvictorekpo/status/1630703527965122560,chiefvictorekpo,Twitter for Android,Nigeria,"FCT and Who can be declared President - you must have 25% of votes cast in 25 states, FCT in this case is recognized as a state. So 25% in 25 states including FCT. Check the Supreme Court case Obasanjo vs Buhari. #2023GeneralElections #2023Verdict #electionresults2023 #Naija",0,0,0,0
